city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,2022-02-03,123,0.82,26,64,34,100,64,57,32
Delhi,2022-02-04,159,6.91,44,45,54,7,150,159,35
Delhi,2022-02-05,158,3.22,22,36,22,20,23,250,50
Delhi,2022-02-06,176,3.75,24,27,75,67,16,159,16
Delhi,2022-02-07,128,1.43,55,34,73,15,39,181,30
Delhi,2022-02-08,235,1.4,30,107,17,36,101,19,16
Delhi,2022-02-09,175,0.62,107,44,131,92,97,91,37
Delhi,2022-02-10,120,0.86,57,63,115,25,86,76,50
Delhi,2022-02-11,144,7.32,5,29,91,100,115,10,6
Delhi,2022-02-12,272,6.84,85,150,61,17,68,72,50
Delhi,2022-02-13,129,8.14,43,30,154,16,88,250,4
Delhi,2022-02-14,300,12.82,67,25,98,60,32,153,50
Delhi,2022-02-15,130,11.35,22,65,94,76,57,76,11
Delhi,2022-02-16,30,11.06,16,21,74,8,62,250,50
Delhi,2022-02-17,152,0.39,200,76,106,32,64,69,23
Delhi,2022-02-18,300,2.56,127,7,23,18,126,250,49
Delhi,2022-02-19,76,0.49,35,105,75,27,49,242,45
Delhi,2022-02-20,149,0.4,70,22,59,75,14,171,2
Delhi,2022-02-21,300,13.17,35,99,100,41,83,19,33
Delhi,2022-02-22,161,3.32,35,37,107,15,135,157,35
Delhi,2022-02-23,266,4.88,8,22,135,19,39,28,12
Delhi,2022-02-24,273,2.89,80,85,57,40,146,61,29
Delhi,2022-02-25,300,2.56,92,46,146,7,63,175,39
Delhi,2022-02-26,234,4.84,100,104,128,43,25,231,29
Delhi,2022-02-27,241,8.39,108,48,65,29,150,51,50
Delhi,2022-02-28,198,4.44,68,140,100,78,44,250,20
Delhi,2022-03-01,300,6.06,40,60,38,19,66,-200,50
Delhi,2022-03-02,162,2.86,75,85,135,22,43,66,50
Delhi,2022-03-03,300,5.41,35,47,149,100,150,67,22
Delhi,2022-03-04,208,4.85,72,65,47,36,150,74,35
Delhi,2022-03-05,300,7.95,36,123,180,58,145,203,44
Delhi,2022-03-06,300,0.79,90,66,106,50,49,132,31
Delhi,2022-03-07,242,6.93,200,92,180,59,79,79,35
Delhi,2022-03-08,195,1.95,31,47,126,100,65,28,12
Delhi,2022-03-09,248,5.24,17,140,152,35,38,94,39
Delhi,2022-03-10,68,9.19,148,98,133,60,150,133,50
Delhi,2022-03-11,121,1.03,181,84,53,26,9,79,1
Delhi,2022-03-12,257,6.98,78,32,92,38,23,96,31
Delhi,2022-03-13,162,0.16,32,31,76,23,104,250,50
Delhi,2022-03-14,190,5.71,33,143,152,92,80,250,35
Delhi,2022-03-15,124,9.52,38,112,59,100,95,119,33
Delhi,2022-03-16,161,9.4,10,51,180,45,142,242,30
Delhi,2022-03-17,246,11.3,12,150,180,55,84,113,50
Delhi,2022-03-18,257,2.07,43,27,28,85,67,164,32
Delhi,2022-03-19,66,8.21,12,54,73,29,53,250,50
Delhi,2022-03-20,208,0.55,55,75,163,36,132,150,50
Delhi,2022-03-21,173,0.14,123,30,57,100,128,167,50
Delhi,2022-03-22,181,3.94,123,150,180,13,66,148,50
Delhi,2022-03-23,228,2.42,130,24,76,96,61,118,50
Delhi,2022-03-24,107,2.78,33,22,180,77,137,89,8
Delhi,2022-03-25,33,3.56,146,117,166,48,36,93,12
Delhi,2022-03-26,83,3.62,110,16,40,32,75,32,43
Delhi,2022-03-27,207,0.21,144,85,144,21,39,36,17
Delhi,2022-03-28,159,5.15,135,37,180,61,95,120,27
Delhi,2022-03-29,134,4.22,15,38,180,58,150,71,12
Delhi,2022-03-30,190,0.33,30,92,20,4,92,250,42
Delhi,2022-03-31,239,0.9,62,88,24,20,150,90,50
Delhi,2022-04-01,200,4.57,67,60,161,75,35,33,4
Delhi,2022-04-02,234,2.77,77,150,103,36,85,148,27
Delhi,2022-04-03,116,5.56,59,77,95,69,70,33,18
Delhi,2022-04-04,169,0.68,61,114,102,4,22,180,26
Delhi,2022-04-05,300,15.0,65,59,58,30,79,117,50
Delhi,2022-04-06,48,2.6,15,65,144,66,43,10,19
Delhi,2022-04-07,223,1.13,57,118,180,34,48,53,8
Delhi,2022-04-08,36,7.18,33,150,157,25,150,70,50
Delhi,2022-04-09,300,3.41,81,43,72,44,19,49,12
Delhi,2022-04-10,236,0.48,130,129,180,20,53,95,43
Delhi,2022-04-11,300,15.0,33,148,180,56,51,56,12
Delhi,2022-04-12,10,4.42,48,62,177,23,61,143,44
Delhi,2022-04-13,254,4.97,66,22,130,22,150,118,37
Delhi,2022-04-14,300,3.87,99,102,86,12,59,55,50
Delhi,2022-04-15,222,0.97,130,46,49,61,31,81,50
Delhi,2022-04-16,148,4.18,14,12,21,90,43,250,50
Delhi,2022-04-17,300,4.29,117,118,47,38,114,224,10
Delhi,2022-04-18,167,2.64,54,70,38,100,58,49,50
Delhi,2022-04-19,300,2.08,64,52,19,56,44,113,50
Delhi,2022-04-20,129,4.36,81,132,180,35,58,96,40
Delhi,2022-04-21,300,0.31,46,5,178,40,100,24,19
Delhi,2022-04-22,257,1.02,17,108,93,20,34,46,32
Delhi,2022-04-23,200,3.61,42,29,132,72,107,250,26
Delhi,2022-04-24,300,7.1,33,38,105,100,54,24,50
Delhi,2022-04-25,176,3.16,71,40,104,9,150,240,32
Delhi,2022-04-26,261,5.46,33,150,72,27,29,156,31
Delhi,2022-04-27,300,2.47,21,104,180,44,51,129,50
Delhi,2022-04-28,300,2.81,52,150,93,68,101,82,13
Delhi,2022-04-29,293,1.98,153,102,93,12,150,140,24
Delhi,2022-04-30,261,5.39,15,30,53,55,78,179,50
Delhi,2022-05-01,242,0.53,187,150,86,24,63,188,21
Delhi,2022-05-02,248,0.1,88,32,180,49,150,111,23
Delhi,2022-05-03,85,6.15,21,145,180,34,59,119,50
Delhi,2022-05-04,96,0.44,67,147,135,1,109,163,50
Delhi,2022-05-05,300,4.03,135,79,18,32,69,250,15
Delhi,2022-05-06,61,0.21,39,41,24,35,71,27,23
Delhi,2022-05-07,111,3.8,61,87,48,77,68,61,6
Delhi,2022-05-08,202,4.19,80,49,104,100,125,10,16
Delhi,2022-05-09,166,0.37,59,84,128,34,67,215,36
Delhi,2022-05-10,76,0.1,60,67,12,41,26,217,40
Delhi,2022-05-11,71,1.62,105,150,75,33,117,250,5
Delhi,2022-05-12,80,2.49,39,57,159,88,150,19,14
Delhi,2022-05-13,67,15.0,33,36,125,54,66,102,21
Delhi,2022-05-14,153,1.5,155,120,69,33,91,36,32
Delhi,2022-05-15,231,2.55,78,36,54,4,111,250,12
Delhi,2022-05-16,271,4.24,186,49,83,44,92,137,21
Delhi,2022-05-17,228,12.58,40,96,88,5,150,66,50
Delhi,2022-05-18,265,15.0,64,105,143,30,57,166,28
Delhi,2022-05-19,139,5.56,27,97,53,66,125,157,48
Delhi,2022-05-20,217,0.67,94,122,116,74,56,56,14
Delhi,2022-05-21,145,12.71,7,84,143,68,12,55,50
Delhi,2022-05-22,155,2.78,84,22,180,10,74,125,19
Delhi,2022-05-23,211,3.44,77,95,58,19,45,52,50
Delhi,2022-05-24,142,7.8,59,126,41,9,-200,129,32
Delhi,2022-05-25,203,0.4,48,5,79,69,146,113,32
Delhi,2022-05-26,221,0.21,119,70,136,22,20,72,50
Delhi,2022-05-27,221,2.7,18,113,33,46,28,35,50
Delhi,2022-05-28,140,1.93,81,72,35,29,25,250,48
Delhi,2022-05-29,169,4.74,77,116,145,56,96,113,50
Delhi,2022-05-30,180,7.84,54,79,104,7,30,96,5
Delhi,2022-05-31,168,13.68,61,21,51,81,93,149,50
Delhi,2022-06-01,98,10.33,15,136,81,16,12,119,23
Delhi,2022-06-02,135,2.54,4,150,21,27,43,157,5
Delhi,2022-06-03,202,3.7,59,39,117,34,150,88,11
Delhi,2022-06-04,202,6.04,39,68,26,52,41,124,50
Delhi,2022-06-05,142,1.39,86,58,48,81,8,203,3
Delhi,2022-06-06,234,1.12,51,28,60,55,150,21,12
Delhi,2022-06-07,54,11.83,43,127,20,33,112,71,31
Delhi,2022-06-08,260,5.94,19,10,106,43,40,56,27
Delhi,2022-06-09,73,1.05,18,108,29,5,33,68,37
Delhi,2022-06-10,111,3.56,127,71,41,45,150,158,6
Delhi,2022-06-11,128,2.87,59,102,71,25,150,159,36
Delhi,2022-06-12,114,1.62,18,91,142,32,95,162,47
Delhi,2022-06-13,37,4.81,36,94,85,53,80,10,50
Delhi,2022-06-14,119,1.34,23,135,127,73,71,72,29
Delhi,2022-06-15,75,3.79,13,38,180,20,10,86,16
Delhi,2022-06-16,242,0.86,125,46,98,41,56,80,11
Delhi,2022-06-17,11,1.96,21,60,19,37,61,61,20
Delhi,2022-06-18,53,0.1,86,113,27,11,25,143,33
Delhi,2022-06-19,233,2.01,105,14,116,68,43,94,22
Delhi,2022-06-20,142,1.14,85,150,180,20,69,48,14
Delhi,2022-06-21,146,5.01,25,38,94,45,80,134,7
Delhi,2022-06-22,93,1.75,48,131,180,39,94,26,41
Delhi,2022-06-23,300,10.35,24,39,142,31,7,62,50
Delhi,2022-06-24,128,0.27,37,108,100,23,33,250,50
Delhi,2022-06-25,184,1.37,69,56,98,25,26,122,19
Delhi,2022-06-26,179,2.14,71,-200,33,21,43,181,46
Delhi,2022-06-27,95,0.41,14,150,105,8,34,185,50
Delhi,2022-06-28,283,4.44,61,61,30,32,24,65,44
Delhi,2022-06-29,128,2.58,35,58,180,11,67,250,23
Delhi,2022-06-30,233,5.69,13,51,37,28,52,94,43
Delhi,2022-07-01,10,0.25,27,70,10,46,31,77,44
Delhi,2022-07-02,235,0.1,71,21,115,48,75,233,25
Delhi,2022-07-03,243,3.97,112,97,92,41,150,185,9
Delhi,2022-07-04,170,4.48,21,34,54,7,23,239,13
Delhi,2022-07-05,201,1.08,50,87,113,12,96,28,12
Delhi,2022-07-06,181,4.22,17,7,94,6,85,68,30
Delhi,2022-07-07,162,3.01,74,90,29,23,67,224,36
Delhi,2022-07-08,231,0.14,57,122,87,59,39,240,33
Delhi,2022-07-09,41,9.16,56,90,133,98,34,250,23
Delhi,2022-07-10,86,3.48,28,86,33,21,66,236,41
Delhi,2022-07-11,139,2.3,64,68,24,87,142,80,15
Delhi,2022-07-12,59,6.77,66,89,35,34,90,55,19
Delhi,2022-07-13,121,0.25,22,49,15,22,41,80,32
Delhi,2022-07-14,53,0.89,16,28,20,43,31,82,10
Delhi,2022-07-15,109,2.91,52,72,28,26,24,76,13
Delhi,2022-07-16,255,5.0,73,74,55,50,47,248,42
Delhi,2022-07-17,108,1.32,114,44,180,79,62,18,26
Delhi,2022-07-18,59,1.08,24,35,25,32,26,68,14
Delhi,2022-07-19,162,0.82,55,42,100,62,5,50,9
Delhi,2022-07-20,86,7.8,3,5,44,17,122,90,31
Delhi,2022-07-21,300,0.12,122,52,47,16,62,57,7
Delhi,2022-07-22,94,4.78,52,87,180,28,115,69,20
Delhi,2022-07-23,120,3.03,47,98,45,12,93,147,50
Delhi,2022-07-24,89,1.87,33,105,45,42,41,101,7
Delhi,2022-07-25,132,0.9,89,91,28,80,103,28,13
Delhi,2022-07-26,59,5.61,51,32,10,24,89,85,31
Delhi,2022-07-27,138,2.63,66,64,59,28,126,121,8
Delhi,2022-07-28,129,2.62,50,46,10,12,33,250,29
Delhi,2022-07-29,28,5.39,36,125,39,52,10,10,46
Delhi,2022-07-30,95,1.5,28,59,89,1,26,80,28
Delhi,2022-07-31,63,2.92,32,31,75,56,35,20,11
Delhi,2022-08-01,228,3.28,18,16,46,23,29,17,25
Delhi,2022-08-02,135,3.02,62,59,180,43,68,170,22
Delhi,2022-08-03,109,5.63,47,6,70,23,61,154,30
Delhi,2022-08-04,77,13.97,68,145,130,7,68,25,15
Delhi,2022-08-05,143,0.26,45,102,180,35,33,10,48
Delhi,2022-08-06,113,2.65,36,51,85,35,36,68,11
Delhi,2022-08-07,76,5.04,20,45,28,1,32,23,21
Delhi,2022-08-08,82,0.48,51,17,10,22,31,21,34
Delhi,2022-08-09,58,1.56,19,95,88,8,33,24,36
Delhi,2022-08-10,169,5.87,116,150,36,40,5,84,26
Delhi,2022-08-11,60,4.21,20,90,84,70,117,13,12
Delhi,2022-08-12,54,2.84,61,59,24,11,100,51,2
Delhi,2022-08-13,53,2.29,119,95,18,27,82,13,39
Delhi,2022-08-14,139,0.99,19,73,74,31,48,33,10
Delhi,2022-08-15,100,3.72,36,76,180,28,67,131,31
Delhi,2022-08-16,61,0.83,87,104,65,11,43,15,50
Delhi,2022-08-17,77,0.55,28,120,138,30,124,30,24
Delhi,2022-08-18,59,2.43,74,96,180,23,150,28,17
Delhi,2022-08-19,56,2.18,40,21,123,33,15,125,50
Delhi,2022-08-20,143,2.85,9,41,95,19,16,159,14
Delhi,2022-08-21,199,7.57,22,35,35,20,58,28,6
Delhi,2022-08-22,17,5.93,5,12,37,26,55,76,47
Delhi,2022-08-23,209,1.14,27,19,180,51,87,42,33
Delhi,2022-08-24,117,0.96,32,43,82,60,150,49,21
Delhi,2022-08-25,103,5.68,46,38,32,16,25,60,5
Delhi,2022-08-26,79,0.13,46,61,68,56,57,166,50
Delhi,2022-08-27,156,2.66,10,56,62,63,37,33,12
Delhi,2022-08-28,40,1.37,120,45,19,66,133,77,5
Delhi,2022-08-29,83,0.5,28,46,21,43,5,146,44
Delhi,2022-08-30,87,1.09,31,121,89,17,33,97,50
Delhi,2022-08-31,96,1.15,24,46,57,28,38,151,8
Delhi,2022-09-01,129,5.35,47,22,75,31,5,28,50
Delhi,2022-09-02,75,2.93,11,6,21,20,12,107,8
Delhi,2022-09-03,123,0.8,85,109,69,7,38,85,50
Delhi,2022-09-04,10,3.49,32,69,60,26,20,127,18
Delhi,2022-09-05,116,5.81,68,34,131,6,48,32,6
Delhi,2022-09-06,205,0.22,10,46,16,50,28,135,26
Delhi,2022-09-07,224,2.84,7,18,108,27,32,233,17
Delhi,2022-09-08,63,1.38,68,44,59,35,65,26,13
Delhi,2022-09-09,32,1.82,42,143,23,4,22,53,29
Delhi,2022-09-10,85,8.1,42,28,46,10,14,112,12
Delhi,2022-09-11,126,7.49,15,43,10,16,20,144,5
Delhi,2022-09-12,95,5.04,41,87,98,20,40,144,16
Delhi,2022-09-13,111,0.54,73,150,65,31,69,145,35
Delhi,2022-09-14,73,1.34,41,88,138,19,48,87,17
Delhi,2022-09-15,116,1.49,198,36,49,4,6,91,35
Delhi,2022-09-16,146,1.84,15,74,48,15,10,34,24
Delhi,2022-09-17,118,1.44,36,5,60,12,48,147,11
Delhi,2022-09-18,107,5.03,113,52,52,10,68,26,40
Delhi,2022-09-19,135,1.05,20,21,27,3,53,10,15
Delhi,2022-09-20,93,0.9,24,59,33,24,90,-200,12
Delhi,2022-09-21,101,3.72,24,37,61,5,7,28,24
Delhi,2022-09-22,134,2.63,55,19,56,15,34,45,20
Delhi,2022-09-23,67,2.5,69,93,74,42,9,145,22
Delhi,2022-09-24,70,0.9,17,119,94,18,9,150,6
Delhi,2022-09-25,82,2.38,28,22,45,20,31,80,48
Delhi,2022-09-26,30,0.46,35,15,12,40,45,13,14
Delhi,2022-09-27,10,8.22,14,-200,86,32,27,125,42
Delhi,2022-09-28,136,4.7,19,37,149,16,57,33,33
Delhi,2022-09-29,58,0.61,29,62,169,24,30,47,32
Delhi,2022-09-30,124,0.42,50,113,54,27,28,32,10
Delhi,2022-10-01,10,1.05,46,57,76,10,23,37,35
Delhi,2022-10-02,110,1.44,32,72,31,27,132,149,21
Delhi,2022-10-03,105,6.45,45,108,129,60,45,10,50
Delhi,2022-10-04,61,0.82,53,5,53,16,109,82,17
Delhi,2022-10-05,124,0.68,1,24,35,33,15,73,15
Delhi,2022-10-06,71,0.77,20,39,10,36,19,51,47
Delhi,2022-10-07,141,2.52,10,5,76,17,44,108,32
Delhi,2022-10-08,80,1.83,29,56,73,24,99,87,28
Delhi,2022-10-09,115,0.36,13,24,17,43,8,56,12
Delhi,2022-10-10,10,10.58,23,32,155,2,91,52,30
Delhi,2022-10-11,105,4.49,11,107,121,8,58,38,3
Delhi,2022-10-12,62,10.34,77,78,41,52,82,32,48
Delhi,2022-10-13,82,0.15,26,5,31,19,47,23,9
Delhi,2022-10-14,186,0.1,66,99,50,27,59,183,3
Delhi,2022-10-15,10,8.68,20,51,56,11,56,43,17
Delhi,2022-10-16,126,1.62,22,74,105,11,25,27,16
Delhi,2022-10-17,118,5.68,24,52,34,14,50,45,16
Delhi,2022-10-18,123,1.46,39,28,113,32,46,23,18
Delhi,2022-10-19,70,0.43,46,5,43,13,67,10,17
Delhi,2022-10-20,131,0.77,104,28,68,3,38,143,50
Delhi,2022-10-21,125,11.98,6,106,11,7,100,60,10
Delhi,2022-10-22,139,1.82,36,90,63,25,79,60,7
Delhi,2022-10-23,143,8.83,25,53,10,19,25,10,15
Delhi,2022-10-24,100,1.53,42,95,106,14,44,94,12
Delhi,2022-10-25,26,0.38,27,98,12,9,19,27,28
Delhi,2022-10-26,71,0.18,55,45,10,15,78,73,13
Delhi,2022-10-27,169,3.82,12,26,102,35,13,92,10
Delhi,2022-10-28,10,2.28,25,149,111,21,8,10,18
Delhi,2022-10-29,127,0.3,54,67,89,27,88,42,18
Delhi,2022-10-30,13,2.09,21,87,87,1,141,74,20
Delhi,2022-10-31,74,0.8,23,49,84,28,25,30,7
Delhi,2022-11-01,164,4.84,64,63,115,20,72,98,32
Delhi,2022-11-02,50,7.08,40,33,10,51,77,86,8
Delhi,2022-11-03,11,0.22,2,28,92,17,58,100,29
Delhi,2022-11-04,10,2.14,17,63,150,49,50,157,22
Delhi,2022-11-05,24,0.1,54,100,180,13,14,122,24
Delhi,2022-11-06,126,2.62,80,82,82,15,69,22,22
Delhi,2022-11-07,107,6.74,6,62,35,30,17,124,50
Delhi,2022-11-08,10,11.37,11,19,15,19,54,112,22
Delhi,2022-11-09,146,3.11,32,28,25,19,18,89,8
Delhi,2022-11-10,83,2.95,72,102,125,22,26,99,8
Delhi,2022-11-11,152,0.31,20,38,99,3,25,91,28
Delhi,2022-11-12,134,2.8,29,85,24,9,54,26,50
Delhi,2022-11-13,156,15.0,21,84,18,60,42,42,14
Delhi,2022-11-14,70,1.18,29,15,36,42,49,29,16
Delhi,2022-11-15,180,3.73,24,17,87,2,33,167,15
Delhi,2022-11-16,167,2.83,13,38,44,33,44,183,12
Delhi,2022-11-17,117,1.74,27,47,54,10,73,40,10
Delhi,2022-11-18,26,5.79,22,26,10,19,108,18,18
Delhi,2022-11-19,101,8.78,56,79,180,28,21,44,13
Delhi,2022-11-20,78,2.11,105,77,85,9,71,-200,16
Delhi,2022-11-21,82,12.89,95,26,30,10,40,87,37
Delhi,2022-11-22,147,0.51,53,114,25,6,66,66,37
Delhi,2022-11-23,115,0.27,22,75,65,23,150,163,32
Delhi,2022-11-24,124,5.12,37,38,72,16,14,71,24
Delhi,2022-11-25,175,9.75,18,50,90,35,126,59,9
Delhi,2022-11-26,125,5.73,30,35,39,31,25,124,32
Delhi,2022-11-27,143,6.05,15,60,126,43,71,76,19
Delhi,2022-11-28,193,2.03,46,62,180,19,5,65,18
Delhi,2022-11-29,137,1.87,54,6,91,24,36,15,50
Delhi,2022-11-30,96,2.53,61,25,79,20,71,60,9
Delhi,2022-12-01,121,8.83,36,61,121,9,84,25,31
Delhi,2022-12-02,161,1.1,26,26,31,27,75,68,1
Delhi,2022-12-03,91,6.47,24,73,94,28,85,149,13
Delhi,2022-12-04,73,1.45,36,58,42,100,115,46,8
Delhi,2022-12-05,82,0.46,76,103,162,12,66,40,50
Delhi,2022-12-06,74,1.62,12,20,65,42,72,31,15
Delhi,2022-12-07,95,0.35,13,34,159,7,55,194,50
Delhi,2022-12-08,233,4.5,49,73,43,7,42,168,1
Delhi,2022-12-09,98,0.41,59,53,152,52,12,85,11
Delhi,2022-12-10,81,5.97,11,64,155,34,12,77,30
Delhi,2022-12-11,121,6.55,50,30,55,21,126,32,2
Delhi,2022-12-12,219,1.46,44,17,125,40,140,94,50
Delhi,2022-12-13,123,2.06,61,90,48,18,82,24,11
Delhi,2022-12-14,122,12.87,115,92,72,17,150,78,11
Delhi,2022-12-15,282,1.46,13,130,69,46,73,137,50
Delhi,2022-12-16,278,2.71,23,79,12,49,103,10,21
Delhi,2022-12-17,182,0.76,54,17,24,24,35,63,6
Delhi,2022-12-18,136,14.97,119,18,58,43,10,86,45
Delhi,2022-12-19,68,0.46,46,109,180,30,27,46,5
Delhi,2022-12-20,251,1.45,78,20,36,29,103,122,30
Delhi,2022-12-21,150,0.43,16,60,68,7,150,52,6
Delhi,2022-12-22,107,0.48,34,54,57,28,57,92,30
Delhi,2022-12-23,169,0.92,61,96,39,16,105,61,20
Delhi,2022-12-24,124,7.61,173,27,33,28,44,30,21
Delhi,2022-12-25,140,4.35,28,51,37,10,37,35,6
Delhi,2022-12-26,10,0.1,51,40,149,21,61,51,22
Delhi,2022-12-27,10,1.71,30,28,139,32,91,193,15
Delhi,2022-12-28,149,9.77,16,77,106,36,34,250,23
Delhi,2022-12-29,300,6.08,16,91,144,11,43,23,50
Delhi,2022-12-30,135,5.06,21,116,73,53,73,37,15
Delhi,2022-12-31,85,0.52,15,11,180,36,73,189,15
Delhi,2023-01-01,48,2.93,75,19,124,7,16,52,38
Delhi,2023-01-02,263,3.94,61,36,142,7,24,96,41
Delhi,2023-01-03,130,4.51,35,49,159,15,22,73,50
Delhi,2023-01-04,98,11.97,37,13,64,36,18,192,28
Delhi,2023-01-05,109,15.0,54,87,12,37,123,47,16
Delhi,2023-01-06,122,0.44,79,23,105,23,150,74,1
Delhi,2023-01-07,194,10.41,61,70,170,6,25,89,27
Delhi,2023-01-08,135,2.13,10,41,180,11,53,128,42
Delhi,2023-01-09,196,0.83,29,28,180,56,57,231,7
Delhi,2023-01-10,10,0.28,51,70,20,55,7,119,37
Delhi,2023-01-11,159,0.33,10,138,51,20,31,150,15
Delhi,2023-01-12,62,2.73,90,59,155,31,29,15,27
Delhi,2023-01-13,127,0.21,78,38,103,30,27,61,7
Delhi,2023-01-14,290,0.19,61,16,180,11,34,77,24
Delhi,2023-01-15,206,5.63,5,63,61,35,42,63,22
Delhi,2023-01-16,283,0.1,32,137,86,33,64,133,18
Delhi,2023-01-17,236,2.49,67,19,10,91,66,26,17
Delhi,2023-01-18,223,2.5,40,58,129,39,85,154,13
Delhi,2023-01-19,105,6.47,23,39,71,30,142,115,23
Delhi,2023-01-20,300,15.0,19,49,180,96,44,18,17
Delhi,2023-01-21,265,0.65,43,104,78,8,58,172,15
Delhi,2023-01-22,219,9.67,51,109,102,13,45,73,15
Delhi,2023-01-23,176,0.81,166,-200,180,17,134,250,13
Delhi,2023-01-24,192,3.62,68,53,91,47,51,197,8
Delhi,2023-01-25,131,9.67,81,150,172,36,53,77,20
Delhi,2023-01-26,17,0.72,152,62,41,44,32,186,13
Delhi,2023-01-27,221,3.93,38,81,148,21,104,16,50
Delhi,2023-01-28,241,0.22,46,147,171,33,58,45,27
Delhi,2023-01-29,42,2.17,84,114,14,83,35,250,31
Delhi,2023-01-30,276,6.01,22,52,53,7,18,90,35
Delhi,2023-01-31,79,5.2,37,36,79,53,65,62,50
Delhi,2023-02-01,191,2.37,55,27,158,46,86,84,19
Delhi,2023-02-02,300,0.88,36,22,96,33,126,89,42
Delhi,2023-02-03,286,0.23,67,28,114,25,73,101,8
Delhi,2023-02-04,151,1.35,20,45,159,35,91,114,21
Delhi,2023-02-05,186,2.78,10,115,42,49,47,33,15
Delhi,2023-02-06,208,12.23,194,65,180,6,50,97,40
Delhi,2023-02-07,114,12.41,66,58,180,39,150,88,50
Delhi,2023-02-08,294,3.96,2,115,71,12,143,64,5
Delhi,2023-02-09,185,1.4,132,26,158,4,150,139,9
Delhi,2023-02-10,234,2.86,34,31,55,55,26,10,18
Delhi,2023-02-11,279,1.45,123,44,54,20,35,63,33
Delhi,2023-02-12,283,3.53,22,35,114,58,15,250,21
Delhi,2023-02-13,52,7.87,12,15,180,37,137,96,50
Delhi,2023-02-14,158,2.25,78,67,75,16,103,40,46
Delhi,2023-02-15,181,1.73,88,82,180,49,70,10,50
Delhi,2023-02-16,36,3.48,15,125,91,7,39,241,32
Delhi,2023-02-17,178,0.21,29,129,83,56,32,250,50
Delhi,2023-02-18,187,4.8,70,44,149,3,150,172,12
Delhi,2023-02-19,300,0.57,191,98,46,38,97,138,12
Delhi,2023-02-20,223,10.39,121,23,33,21,56,199,50
Delhi,2023-02-21,103,2.56,64,150,180,42,80,149,22
Delhi,2023-02-22,188,4.35,6,45,133,16,122,19,50
Delhi,2023-02-23,251,4.94,200,55,93,100,150,225,38
Delhi,2023-02-24,300,3.36,200,114,96,62,76,89,50
Delhi,2023-02-25,134,9.56,85,17,180,19,18,250,50
Delhi,2023-02-26,208,8.26,52,57,114,36,59,52,10
Delhi,2023-02-27,188,7.49,67,40,57,44,30,233,44
Delhi,2023-02-28,115,4.91,80,34,167,18,61,126,50
Delhi,2023-03-01,110,4.44,27,18,180,38,142,70,20
Delhi,2023-03-02,177,0.1,55,123,99,27,150,52,15
Delhi,2023-03-03,102,0.6,95,105,83,16,76,208,50
Delhi,2023-03-04,126,8.85,50,104,69,10,60,37,50
Delhi,2023-03-05,154,2.64,54,39,93,89,143,42,1
Delhi,2023-03-06,169,-200.0,44,56,60,14,150,250,21
Delhi,2023-03-07,195,2.8,112,84,64,11,69,37,50
Delhi,2023-03-08,180,3.09,83,58,171,22,85,85,25
Delhi,2023-03-09,272,0.23,29,100,180,72,41,165,5
Delhi,2023-03-10,276,0.6,200,96,180,10,28,87,27
Delhi,2023-03-11,212,0.3,34,85,180,55,51,194,22
